ID,Nome,ClasseSuperior,Descricao 
#area_agropec_ext_vegetal_pesca,Área Agropecuária Extrativismo vegetal Pesca,#categoria_estrutura_economica,""
#area_umida,Área úmida,#categoria_hidrografia,""
#banco_areia,Banco de areia,#categoria_hidrografia,""
#brejo_pantano,Brejo Pântano,#vegetacao_natural,""
#brejo_pantano_antropizada,Brejo Pântano,#vegetacao_antropizada,""
#caatinga,Caatinga,#vegetacao_natural,""
#caatinga_antropizada,Caatinga,#vegetacao_antropizada,""
#campirana,Campirana,#vegetacao_natural,""
#campirana_antropizada,Campirana,#vegetacao_antropizada,""
#campo,Campo,#categoria_vegetacao,""
#categoria_estrutura_economica,Categoria Estrutura econômica,,""
#categoria_hidrografia,Categoria Hidrografia,,""
#categoria_vegetacao,Categoria Vegetação,,"Categoria que representa, em caráter geral, os diversos tipos de vegetação natural e cultivada."
#cerrado_cerradao,Cerrado Cerradão,#vegetacao_natural,""
#cerrado_cerradao_antropizada,Cerrado Cerradão,#vegetacao_antropizada,""
#equip_agropec,Equipamento agropecuário,#categoria_estrutura_economica,""
#estepe,Estepe,#vegetacao_natural,""
#estepe_antropizada,Estepe,#vegetacao_antropizada,""
#floresta,Floresta,#vegetacao_natural,""
#floresta_antropizada,Floresta,#vegetacao_antropizada,""
#macega_chavascal,Macega Chavascal,#vegetacao_natural,""
#macega_chavascal_antropizada,Macega Chavascal,#vegetacao_antropizada,""
#mangue,Mangue,#vegetacao_natural,""
#mangue_antropizado,Mangue,#vegetacao_antropizada,""
#restinga,Restinga,#vegetacao_natural,""
#restinga_antropizada,Restinga,#vegetacao_antropizada,""
#terreno_sujeito_inundacao,Terreno sujeito a inundação,#categoria_hidrografia,""
#vegetacao,Vegetação,#categoria_vegetacao,""
#vegetacao_antropizada,Vegetação antropizada,#vegetacao,""
#vegetacao_area_contato,Vegetação de área de contato,#vegetacao,""
#vegetacao_cultivada,Vegetação cultivada,#vegetacao_antropizada,""
#vegetacao_natural,Vegetação natural,#vegetacao,""
