Termo,TermoGeral,Descricao
"Abastecimento de água","","Abastecimento através de rede geral ou outra forma (água proveniente de chafariz, bica ou mina, poço particular, caminhão-pipa, cursos dágua etc.). (Fonte: IBGE. Atlas de saneamento. IBGE. Glossário. Rio de Janeiro : IBGE, 2004. P. 145. Disponível em:< http://www.ibge.gov.br/home/estatistica/populacao/atlas_saneamento/> Acesso em: 13 mar 2013). "
"Açude","Obra hídrica","Conjunto constituido por barragem ou barramento de um curso d'água e o respectivo reservatório ou lago formado. (Fonte: SERGIPE. Governo do Estado. Glossário de recursos hídricos. Disponível em: < http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 6 mar 2013). "
"Adubação","","Processo de adição ao solo de substâncias, produtos ou organismos, que contenham elementos essenciais ao desenvolvimento de plantas que são cultivadas. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:<http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Agricultor","Trabalhador rural",""
"Agricultura","",""
"Agricultura de subsistência","Produção agrícola","produção agrícola voltada unicamente ao consumo do próprio produtor. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em:< http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Agricultura empresarial","Produção agrícola",""
"Agricultura familiar","Produção agrícola","Modelo de produção agrícola que apresenta as seguintes características: a) decisões imediatas, adequadas à imprevisibilidade do processo produtivo; b) direção do processo produtivo assegurada pelo agricultor e sua família; c) ênfase na durabilidade dos recursos e na qualidade de vida; d) geração de renda complementar à comunidade beneficiada; e) trabalho e gestão intimamente relacionados. (Fonte: BRASIL. Caixa Econômica Federal. Município: assistência técnica: glossário. Disponível em:<http://www1.caixa.gov.br/gov/gov_social/municipal/assistencia_tecnica/glossario.asp> Acesso em: 26 ago 2014). "
"Agricultura orgânica","Produção agrícola",""
"Agropecuária","","teoria e prática da agricultura associada à pecuária. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Água","","Substância mineral encontrada na natureza em estado líquido, sólido ou em forma de vapor, formada por duas moléculas de hidrogênio e uma de oxigênio (H2O), sendo responsável pela existência e pela manutenção de toda a vida na Terra. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Água canalizada","","Abastecimento por água proveniente de uma rede geral de distribuição, canalizada para o domicílio ou, pelo menos, para o terreno ou propriedade em que se situava. (Fonte: ORIGEM do abastecimento de água dos domicílios. Disponível em: <http://dados.gov.br/dataset/origem-do-abastecimento-de-agua-dos-domicilios> Acesso em: 27 fev 2013). "
"Água continental","Água","São as águas dos córregos, rios e lagos que têm características químicas bastante diversificada. Os rios são formados a partir de fontes, pequenos córregos, bem como do lençol freático. A configuração final de um rio está também relacionada com os aspectos topográficos, regime pluvial, área de drenagem, constituição litológica das rochas erodidas e o estágio erosivo do rio. (Fonte: GLOSSÁRIO de termos usados em atividades agropecuárias, florestais e Ciências Ambientais. Comp. José Geraldo Pacheco Ormond. 3. ed. rev. e atual. Rio de Janeiro : BNDES, 2006. Disponível em: < http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 12 nov 2014). "
"Água doce","Água","Água que possui baixas concentrações de matéria dissolvida (salinidadeinferior a 2 000 ppm) principalmente cloreto de sódio (NaCl). (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário Básico de Recursos Naturais e Meio Ambiente. 2. ed. Rio de Janeiro : IBGE, 2004. Disponível em: < http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf > Acesso em: 12 nov 2014). "
"Água fluvial","Água","Águas de qualquer rio. (Fonte: Dicionário informal. Disponível em: < http://www.dicionarioinformal.com.br/fluvial/> Acesso em: 12 nov 2014). "
"Água marinha","",""
"Água pluvial","Água","água proveniente da drenagem supeficial das coberturas, terraços, pátios e quintais de edificação. (Fonte: ASSOCIAÇÃO BRASILEIRA DE NORMA TÉCNICAS. Tubos e conexões de PVC-U para sistemas prediais de água pluvial, esgoto sanitário e ventilação: requisitos. 2. ed. São Paulo : ABNT, 2010). "
"Água potável","Água","Água que se destina ao consumo humano, devendo se apresentar incolor e transparente a uma temperatura compreendida entre 80ºC e 110  ºC, além de não poder conter nenhum germe patogênico ou substância nociva à saúde. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Água subterrânea","Água","Água presente no subsolo ocupando a zona saturada dos aqüíferos, e movendo-se sob o efeito da força gravitacional. Difere da água do solo, pois nesta as forças que a comandam são as eletroquímicas, tais como capilaridade e adsorção. INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Água superficial","Água","Água que ocorre em corpos cuja superfície livre encontra-se em contato direto com a atmosfera, isto é, acima de superfície topográfica. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Alimentação","",""
"Alimentação animal","",""
"Aquecimento global","","Elevação da temperatura média anual do planeta Terra causada pelo aumento das concentrações na atmosfera dos chamados gases estufa, incremento este provocado, sobretudo, pelas atividades antrópicas. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Aquicultura","","cultivo de seres vivos aquáticos plantas e animais (algas, peixes, crustáceos e moluscos etc.). (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Aquífero","","Unidade geológica que contém e libera água em quantidades suficientes de modo que pode ser utilizado como fonte de abastecimento. (Fonte:INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Área de preservação permanente","","Area protegida, coberta ou não por vegetação nativa, com a função ambiental de preservar os recursos hídricos, a paisagem, a estabilidade geológica e a biodiversidade, facilitar o fluxo gênico de fauna e flora, proteger o solo e assegurar o bem-estar das populações humanas. (Fonte: BRASIL. Lei nº 12.651, de 25 e maio de 2012. Disponível em:< http://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2012/Lei/L12651.htm#art83> Acesso em: 27 jun 2013). "
"Área de proteção ambiental","","Área pertencente ao grupo das unidades de conservação de uso direto, sustentável e regida por dispositivos legais. Constitui-se de área em geral extensa, com certo grau de ocupação humana, dotada de atributos abióticos, bióticos, estéticos ou culturais, especialmente importantes para a qualidade de vida e bem estar da população residente e do entorno. Tem por objetivo disciplinar o uso sustentável dos recursos naturais e promover, quando necessário, a recuperação dos ecossistemas degradados. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Área rural","","Aquela que se localiza fora dos limites definidos legalmente como área urbana. (Fonte: ANUÁRIO Brasileiro da Educação Básica). São Paulo: Moderna, 2013. Disponível em: <http://www.todospelaeducacao.org.br//arquivos/biblioteca/anuario_educacao_2013.pdf>. Acesso em: 17 fev 2014). "
"Área urbana","","Definida em lei municipal; observado o requisito mínimo da existência de melhoramentos indicados em pelo menos 2 (dois) dos incisos seguintes, construídos ou mantidos pelo Poder Público: I - meio-fio ou calçamento, com canalização de águas pluviais; II - abastecimento de água;  III - sistema de esgotos sanitários; IV - rede de iluminação pública, com ou sem posteamento para distribuição domiciliar; V - escola primária ou posto de saúde a uma distância máxima de 3 (três) quilômetros do imóvel considerado. (Fonte: BRASIL. Lei nº 5.172, de 25 de outubro de 1966. Dispõe sobre o Sistema Tributário Nacional e institui normas gerais de direito tributário aplicáveis à União, Estados e Municípios. Disponível em: http://www.planalto.gov.br/ccivil_03/leis/l5172.htm. Acesso em: 23 out 2014). "
"Armazém","",""
"Aspecto ambiental","","Aspecto ambiental (ISO 14001): elementos das atividades, produtos ou serviços das organizações que podem interagir com o meio ambiente (ex: geração de ruídos, lançamento de água com detergente nos rios, vazamento de combustível). (Fonte: ASPECTOS e Impactos ambiental. Disponível em: http://gestaoambiental14001.blogspot.com.br/2012/06/aspectos-e-impactos-ambientais-da-iso.html> Acesso em: 18 jun 2015). "
"Assentamento rural","Organização agrária","local fora dos limites urbanos onde camponeses ou trabalhadores rurais se fixam ou estabelecem residência e utilizam a terra para atividades de produção agrícola e/ou pecuária, de subsistência e/ou para comercialização. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Associativismo","",""
"Assoreamento","","Obstrução de um rio, canal, estuário ou qualquer corpo dágua, pelo acúmulo de substâncias minerais(areia, argila, etc) ou orgânicas, como o lodo, provocando a redução de sua profundidade e da velocidade de sua correnteza. (Fonte: INSTITUTO Brasileiro de Geografia e Estatística. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Aterro","","Maciço de solo formado em conformidade com projeto, a montante de obras de contenção. Depósito artificial de quaisquer materiais terrosos ou de entulhos, em geral resultante de obra e construída em baixios. (Fonte: BRASIL. Departamento Nacional de Estradas de Rodagem. Glossário de termos técnicos rodoviários. Disponível em: <http://www1.dnit.gov.br/arquivos_internet/ipr/ipr_new/manuais/DNER-700-GTTR.pdf> Acesso em: 6 mar 2013). "
"Aterro controlado","Aterro","Local utilizado para despejo do lixo, em bruto, havendo contudo a necessidade de após cada jornada de trabalho, cobri-lo com uma camada de terra. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Aterro sanitário","Aterro","Método de disposição final dos resíduos sólidos (lixo) no solo, sem causar danos ao ambiente ou à saúde pública, utilizando processos de engenharia para confinar os resíduos sólidos na menor área possível, cobrindo-os, por exemplo, com uma camada de terra, pelo menos uma vez por dia. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes.  Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario Acesso em: 25 fev 2013). "
