"TERMO","CODIGO","NIVEL","NOTAS","TERMOS_INCLUIDOS","TERMO_LIMPO","URI","URIVersion","PAI_TERMO","PAI_CODIGO","PAI_TERMO_LIMPO","FLAG_OUTRO","FILHOS_LIMPOS"
"Administração",18,1,"Assuntos exclusivos da administração pública.","","administracao","http://vocab.e.gov.br/id/governo#administracao","http://vocab.e.gov.br/id/governo/2014_02#administracao","Raiz",0,"",0,"compras-governamentais, fiscalizacao-do-estado, normalizacao-e-qualidade, operacoes-de-divida-publica, orcamento, outros-em-administracao, patrimonio, planejamento, recursos-humanos, servicos-publicos"
"Compras governamentais",114,2,"Aquisição de produtos e serviços pela administração pública ","","compras-governamentais","http://vocab.e.gov.br/id/governo#compras-governamentais","http://vocab.e.gov.br/id/governo/2014_02#compras-governamentais","Administração",18,"administracao",0,""
"Fiscalização do Estado",130,2,"","","fiscalizacao-do-estado","http://vocab.e.gov.br/id/governo#fiscalizacao-do-estado","http://vocab.e.gov.br/id/governo/2014_02#fiscalizacao-do-estado","Administração",18,"administracao",0,""
"Normalização e Qualidade",137,2,"Inclui todas as normalizações que o estado faz sobre a sociedade.","","normalizacao-e-qualidade","http://vocab.e.gov.br/id/governo#normalizacao-e-qualidade","http://vocab.e.gov.br/id/governo/2014_02#normalizacao-e-qualidade","Administração",18,"administracao",0,""
"Operações de dívida pública",138,2,"","","operacoes-de-divida-publica","http://vocab.e.gov.br/id/governo#operacoes-de-divida-publica","http://vocab.e.gov.br/id/governo/2014_02#operacoes-de-divida-publica","Administração",18,"administracao",0,""
"Orçamento",139,2,"","","orcamento","http://vocab.e.gov.br/id/governo#orcamento","http://vocab.e.gov.br/id/governo/2014_02#orcamento","Administração",18,"administracao",0,""
"Outros em Administração",140,2,"","","outros-em-administracao","http://vocab.e.gov.br/id/governo#outros-em-administracao","http://vocab.e.gov.br/id/governo/2014_02#outros-em-administracao","Administração",18,"administracao",0,""
"Patrimônio",163,2,"","","patrimonio","http://vocab.e.gov.br/id/governo#patrimonio","http://vocab.e.gov.br/id/governo/2014_02#patrimonio","Administração",18,"administracao",0,""
"Planejamento",165,2,"","","planejamento","http://vocab.e.gov.br/id/governo#planejamento","http://vocab.e.gov.br/id/governo/2014_02#planejamento","Administração",18,"administracao",0,""
"Recursos humanos",175,2,"","","recursos-humanos","http://vocab.e.gov.br/id/governo#recursos-humanos","http://vocab.e.gov.br/id/governo/2014_02#recursos-humanos","Administração",18,"administracao",0,""
"Serviços Públicos",180,2,"","","servicos-publicos","http://vocab.e.gov.br/id/governo#servicos-publicos","http://vocab.e.gov.br/id/governo/2014_02#servicos-publicos","Administração",18,"administracao",1,""
"Agropecuária",1,1,"Agricultura, pecuária, pesca e atividades relacionadas.","Agricultura, pecuária, pesca, atividades relacionadas","agropecuaria","http://vocab.e.gov.br/id/governo#agropecuaria","http://vocab.e.gov.br/id/governo/2014_02#agropecuaria","Raiz",0,"",0,"abastecimento, defesa-agropecuaria, producao-agropecuaria, outros-em-agropecuaria"
"Abastecimento",100,2,"","","abastecimento","http://vocab.e.gov.br/id/governo#abastecimento","http://vocab.e.gov.br/id/governo/2014_02#abastecimento","Agropecuária",1,"agropecuaria",0,""
"Defesa agropecuária",117,2,"","","defesa-agropecuaria","http://vocab.e.gov.br/id/governo#defesa-agropecuaria","http://vocab.e.gov.br/id/governo/2014_02#defesa-agropecuaria","Agropecuária",1,"agropecuaria",0,""
"Produção agropecuária",171,2,"","","producao-agropecuaria","http://vocab.e.gov.br/id/governo#producao-agropecuaria","http://vocab.e.gov.br/id/governo/2014_02#producao-agropecuaria","Agropecuária",1,"agropecuaria",0,""
"Outros em Agropecuária",141,2,"","","outros-em-agropecuaria","http://vocab.e.gov.br/id/governo#outros-em-agropecuaria","http://vocab.e.gov.br/id/governo/2014_02#outros-em-agropecuaria","Agropecuária",1,"agropecuaria",1,""
"Comércio e Serviços",3,1,"Comércio interno, externo, varejo, atacado, prestação de serviços em qualquer atividade, inclusive embutida em produtos. ","Comércio interno, externo, varejo, atacado, prestação de serviços","comercio-e-servicos","http://vocab.e.gov.br/id/governo#comercio-e-servicos","http://vocab.e.gov.br/id/governo/2014_02#comercio-e-servicos","Raiz",0,"",0,"comercio-externo, defesa-do-consumidor, turismo, outros-em-comercio-e-servicos"
"Comercio externo",113,2,"","Importação e exportação","comercio-externo","http://vocab.e.gov.br/id/governo#comercio-externo","http://vocab.e.gov.br/id/governo/2014_02#comercio-externo","Comércio e Serviços",3,"comercio-e-servicos",0,""
"Defesa do Consumidor",119,2,"","","defesa-do-consumidor","http://vocab.e.gov.br/id/governo#defesa-do-consumidor","http://vocab.e.gov.br/id/governo/2014_02#defesa-do-consumidor","Comércio e Serviços",3,"comercio-e-servicos",0,""
"Turismo",187,2,"","","turismo","http://vocab.e.gov.br/id/governo#turismo","http://vocab.e.gov.br/id/governo/2014_02#turismo","Comércio e Serviços",3,"comercio-e-servicos",0,""
"Outros em Comércio e serviços",142,2,"","","outros-em-comercio-e-servicos","http://vocab.e.gov.br/id/governo#outros-em-comercio-e-servicos","http://vocab.e.gov.br/id/governo/2014_02#outros-em-comercio-e-servicos","Comércio e Serviços",3,"comercio-e-servicos",1,""
