"ID","language","title","abstract","lowerCorner","upperCorner","link","download","protocol","source","subject"
"CCAR:BCIM_Trecho_Duto","pt","BCIM Trecho de Duto(CCAR:BCIM_Trecho_Duto)","Camada representando a classe [Trecho Duto] da categoria [TRA:Sistema de Transporte] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-65.543 -30.013","-35.715 -4.0","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Trecho_Duto","WFS","IBGE",""
"CCAR:BCIM_Trecho_Massa_Dagua","pt","BCIM Trecho de Massa de Água(CCAR:BCIM_Trecho_Massa_Dagua)","Camada representando a classe [Trecho Massa Dagua] da categoria [HID:Hidrografia] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-78.001 -33.268","-34.828 8.0","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Trecho_Massa_Dagua","WFS","IBGE",""
"CCAR:BCIM_Tunel","pt","BCIM Túnel(CCAR:BCIM_Tunel)","Camada representando a classe [Tunel] da categoria [TRA:Sistema de Transporte] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-55.869 -31.577","-43.665 -22.53","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Tunel","WFS","IBGE",""
"CCAR:BCIM_Unidade_Federacao","pt","BCIM Unidade da Federação(CCAR:BCIM_Unidade_Federacao)","Camada representando a classe [Unidade Federacao] da categoria [LIM:Limites] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-73.999 -33.75","-28.84 5.277","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Unidade_Federacao","WFS","IBGE",""
"CCAR:BCIM_Unidade_Conservacao_Nao_Snuc","pt","BCIM Unidade de Conservação Não SNUC(CCAR:BCIM_Unidade_Conservacao_Nao_Snuc)","Camada representando a classe [Unidade Conservacao Nao Snuc] da categoria [LIM:Limites] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-63.501 -29.341","-35.797 4.194","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Unidade_Conservacao_Nao_Snuc","WFS","IBGE",""
"CCAR:BCIM_Unidade_Protecao_Integral","pt","BCIM Unidade de Proteção Integral(CCAR:BCIM_Unidade_Protecao_Integral)","Camada representando a classe [Unidade Protecao Integral] da categoria [LIM:Limites] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-73.999 -33.605","-32.349 5.278","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Unidade_Protecao_Integral","WFS","IBGE",""
"CCAR:BCIM_Unidade_Uso_Sustentavel","pt","BCIM Unidade de Uso Sustentável(CCAR:BCIM_Unidade_Uso_Sustentavel)","Camada representando a classe [Unidade Uso Sustentavel] da categoria [LIM:Limites] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-72.91 -32.834","-32.397 4.294","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Unidade_Uso_Sustentavel","WFS","IBGE",""
"CCAR:BCIM_Veg_Restinga","pt","BCIM Vegetação de Restinga(CCAR:BCIM_Veg_Restinga)","Camada representando a classe [Veg Restinga] da categoria [VEG:Vegetacao] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-53.426 -33.767","-35.034 -0.595","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Veg_Restinga","WFS","IBGE",""
"CCAR:BCIM_Vila","pt","BCIM Vila(CCAR:BCIM_Vila)","Camada representando a classe [Vila] da categoria [LOC:Localidades] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-77.991 -33.993","-34.814 7.855","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Vila","WFS","IBGE",""
"CCAR:BCIM_Area_Edificada","pt","BCIM Área Edificada(CCAR:BCIM_Area_Edificada)","Camada representando a classe [Area Edificada] da categoria [LOC:Localidades] da EDGV versão [2.1] para o projeto [BCIM- base cartográfica ao milionésimo] da instituição/provedor [IBGE/Cartografia].","-77.5256730450866 -32.064380100897885","-34.8265403319175 2.860115359130831","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:BCIM_Area_Edificada","WFS","IBGE",""
"CGED:BDGMAPA_PESQ8","pt","BDGMAPA_PESQ8(CGED:BDGMAPA_PESQ8)","","-1.0 -0.9999999999670266","0.0 0.0","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BDGMAPA_PESQ8","WFS","IBGE","features,BDGMAPA_PESQ8"
"CGED:BRASIL2010","pt","BRASIL2010(CGED:BRASIL2010)","","-72.785 -35.751","-28.852 5.27","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BRASIL2010","WFS","IBGE","BRASIL2010,features"
"CGEO:ANMS2010_06_baciasdeprodpetroleo2009","pt","Bacias de produção de petróleo 2009(CGEO:ANMS2010_06_baciasdeprodpetroleo2009)","","-73.994999814208 -35.778162856164045","-31.444337897314202 7.047267358305629","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGEO:ANMS2010_06_baciasdeprodpetroleo2009","WFS","IBGE","ANMS2010_06_baciasdeprodpetroleo2009,features"
"CGEO:ANMS2010_06_baciashidrograficas","pt","Bacias hidrográficas(CGEO:ANMS2010_06_baciashidrograficas)","","-73.9780197143555 -33.7509727469307","-34.7365684509277 5.268265724009364","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGEO:ANMS2010_06_baciashidrograficas","WFS","IBGE","features,ANMS2010_06_baciashidrograficas"
"CGEO:ANMS2010_03_ottobacias_n3","pt","Bacias hidrográficas - Ottobacias nivel 3(CGEO:ANMS2010_03_ottobacias_n3)","","-70.045119707523 -31.857923594405065","-36.3151658154908 2.4602241610001023","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGEO:ANMS2010_03_ottobacias_n3","WFS","IBGE","features,ANMS2010_03_ottobacias_n3"
"CGEO:ANMS2010_09_backbones_2009_no_municipio","pt","Backbones 2009 -  Ligações  no município(CGEO:ANMS2010_09_backbones_2009_no_municipio)","","-64.83760411198689 -32.83810443290763","-33.9293979937259 -1.9298983146466238","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGEO:ANMS2010_09_backbones_2009_no_municipio","WFS","IBGE","features,ANMS2010_09_backbones_2009_no_municipio"
"CGEO:ANMS2010_09_backbones_2009_entre_municipio","pt","Backbones 2009 - Ligações a outros municípios(CGEO:ANMS2010_09_backbones_2009_entre_municipio)","","-65.9224548339844 -32.23800277624781","-34.8629989624023 2.8200001715685263","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGEO:ANMS2010_09_backbones_2009_entre_municipio","WFS","IBGE","features,ANMS2010_09_backbones_2009_entre_municipio"
"CCAR:banco_areia","pt","Banco de Areia(CCAR:banco_areia)","","-63.0 -1.922","-59.878 3.564","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CCAR:banco_areia","WFS","IBGE",""
"CGED:BDG_DOP","pt","Banco de Dados Geodésicos - Estações DOPPLER(CGED:BDG_DOP)","Conjunto de dados relacionados às estações geodésicas plani-altimétricas do tipo DOPPLER existentes no Banco de Dados Geodésicos.","-73.795 -30.876","-34.896 5.099","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BDG_DOP","WFS","IBGE",""
"CGED:BDG_GPS","pt","Banco de Dados Geodésicos - Estações GPS(CGED:BDG_GPS)","Conjunto de dados relacionados às estações geodésicas plani-altimétricas do tipo GNSS existentes no Banco de Dados Geodésicos.","-72.785 -33.751","-28.852 5.27","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BDG_GPS","WFS","IBGE",""
"CGED:BDG_EG","pt","Banco de Dados Geodésicos - Estações Gravimétricas(CGED:BDG_EG)","Conjunto de dados relacionados às estações geodésicas gravimétricas existentes no Banco de Dados Geodésicos.","-70.033 -33.747","-34.839 4.479","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BDG_EG","WFS","IBGE",""
"CGED:BDG_EP","pt","Banco de Dados Geodésicos - Estações de Poligonal(CGED:BDG_EP)","Conjunto de dados relacionados às estações geodésicas planimétricas existentes no Banco de Dados Geodésicos, cujas coordenadas foram obtidas pelo método clássico de poligonação.","-60.872 -30.825","-34.827 2.539","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BDG_EP","WFS","IBGE",""
"CGED:BDG_RN","pt","Banco de Dados Geodésicos - Referências de Nível(CGED:BDG_RN)","Conjunto de dados relacionados às estações geodésicas altimétricas existentes no Banco de Dados Geodésicos, cuja informação foi obtida por nivelamento geométrico.","-69.571 -33.745","-34.809 4.493","","http://www.geoservicos.ibge.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=CGED:BDG_RN","WFS","IBGE",""
