ID,language,title,abstract,lowerCorner,upperCorner,link,download,protocol,source,subject
"MDS:ProgramaAquisicaoAlimentos","pt","2012 - Agricultores Familiares Fornecedores do PAA(MDS:ProgramaAquisicaoAlimentos)","","-67.5979309082031 -33.7520637512207","-28.8358821868896 5.2718071937561","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MDS:ProgramaAquisicaoAlimentos","WFS","INDE","paa_2012,features"
"BNDES:AP_2009","pt","AP_2009(BNDES:AP_2009)","","-70.6259101584566 -33.7520136933788","-34.7937031650182 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:AP_2009","WFS","INDE","AP_2009,features"
"BNDES:AP_2010","pt","AP_2010(BNDES:AP_2010)","","-70.6259101584566 -33.7520136933788","-34.7937031650182 3.74214767848431","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:AP_2010","WFS","INDE","features,AP_2010"
"BNDES:AP_2011","pt","AP_2011(BNDES:AP_2011)","","-70.6256218575849 -33.7520136933788","-34.7937031650182 4.32536465521008","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:AP_2011","WFS","INDE","features,AP_2011"
"BNDES:AP_2012","pt","AP_2012(BNDES:AP_2012)","","-69.7783846689228 -33.7520136933788","-34.7937031650182 4.32536465521008","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:AP_2012","WFS","INDE","features,AP_2012"
"BNDES:AP_2013","pt","AP_2013(BNDES:AP_2013)","","-69.9288323015763 -34.13278795154089","-31.0899054913925 4.706138858642917","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:AP_2013","WFS","INDE","AP_2013,features"
"BNDES:AP_2014","pt","AP_2014(BNDES:AP_2014)","","-66.1885604858398 -33.75201415928419","-34.793701171875 4.325365066386213","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:AP_2014","WFS","INDE","AP_2014,features"
"ICA:Aerodromos17set15","pt","Aerodromos17set15(ICA:Aerodromos17set15)","","-72.80555556 -33.211944444","-32.42833333 5.123055556","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=ICA:Aerodromos17set15","WFS","INDE","Aerodromos17set15,features"
"ICA:Aerovias17set15","pt","Aerovias17set15(ICA:Aerovias17set15)","","-73.678333333 -33.2245","-10.0 7.666666667","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=ICA:Aerovias17set15","WFS","INDE","features,Aerovias17set15"
"MPOG:Agricultura_Irrigada","pt","Agricultura_Irrigada(MPOG:Agricultura_Irrigada)","","-57.04775885656 -23.02475885656","-36.14924114344 -2.1262411434399997","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Agricultura_Irrigada","WFS","INDE",""
"MPOG:Agropec_Comercializacao","pt","Agropec_Comercializacao(MPOG:Agropec_Comercializacao)","","-44.335 -2.52","-44.3 -2.5","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Agropec_Comercializacao","WFS","INDE",""
"MPOG:Agua_em_areas_urbanas","pt","Agua_em_areas_urbanas(MPOG:Agua_em_areas_urbanas)","","-73.38535999999999 -34.07286","-34.333639999999995 4.97886","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Agua_em_areas_urbanas","WFS","INDE",""
"MPOG:Aperfeicoamento_SUS","pt","Aperfeicoamento_SUS(MPOG:Aperfeicoamento_SUS)","","-43.243 -22.912","-43.189 -22.876","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Aperfeicoamento_SUS","WFS","INDE",""
"MDS:AtendimentosIndividualizadosRealizadosPelosCRAS","pt","Atendimentos Individualizados Realizados pelos CRAS(MDS:AtendimentosIndividualizadosRealizadosPelosCRAS)","","-67.5965270996094 -33.7520637512207","-28.8358821868896 5.2718071937561","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MDS:AtendimentosIndividualizadosRealizadosPelosCRAS","WFS","INDE","atendindivcras_2012,features,Atendimentos individualizados 2012"
"MPOG:Aviacao_Civil_Aeroportos","pt","Aviacao_Civil_Aeroportos(MPOG:Aviacao_Civil_Aeroportos)","","-51.17 -29.99","-38.53 -3.78","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Aviacao_Civil_Aeroportos","WFS","INDE",""
"MPOG:BRA_AH070_N","pt","BRA_AH070_N(MPOG:BRA_AH070_N)","","-69.94429269099999 -33.689193370128784","-51.833876248 4.478883809852889","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_AH070_N","WFS","INDE","BRA_AH070_N,features"
"MPOG:BRA_AL105_N","pt","BRA_AL105_N(MPOG:BRA_AL105_N)","","-72.899708 -33.68663000000001","-32.42681700000001 4.603144000000004","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_AL105_N","WFS","INDE","features,BRA_AL105_N"
"MPOG:BRA_AN010_L","pt","BRA_AN010_L(MPOG:BRA_AN010_L)","","-72.6597743063068 -34.76274939938504","-34.826879179431806 6.649531296351551","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_AN010_L","WFS","INDE","BRA_AN010_L,features"
"MPOG:BRA_AN070_N","pt","BRA_AN070_N(MPOG:BRA_AN070_N)","","-57.6455768843083 -32.01989508213382","-34.8287117224269 0.9019386194043568","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_AN070_N","WFS","INDE","BRA_AN070_N,features"
"MPOG:BRA_AP030_L","pt","BRA_AP030_L(MPOG:BRA_AP030_L)","","-73.7050735991672 -33.71964022703099","-32.400220307721 4.9259412125451965","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_AP030_L","WFS","INDE","BRA_AP030_L,features"
"MPOG:BRA_BB005_N","pt","BRA_BB005_N(MPOG:BRA_BB005_N)","","-72.6675321016913 -33.49714559480782","-34.8272501748898 1.8103806858950138","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_BB005_N","WFS","INDE","features,BRA_BB005_N"
